SourceSiteURL,TargetSiteURL
https://m365x76832558.sharepoint.com/sites/benefits,https://flexera.sharepoint.com/sites/Spot_EcoTest
https://m365x76832558.sharepoint.com/sites/allcompany,https://flexera.sharepoint.com/sites/Spot_Sharegate_Test_TeamSite
